frame velocity-addSource velocity-diffuse velocity-project1 velocity-advect velocity-project2 density-addSource density-diffuse density-advect 
6.6e-05 0.014112 1.427712 0.564 0.07376 0.5584 0.004704 0.48048 0.024832 
6.7e-05 0.01408 1.422912 0.570368 0.07376 0.565984 0.0048 0.474272 0.024928 
6.8e-05 0.013984 1.414272 0.564256 0.074112 0.561184 0.00464 0.475232 0.03184 
6.9e-05 0.023872 1.471232 0.576768 0.079712 0.580352 0.005344 0.4896 0.026176 
7e-05 0.015488 1.458784 0.575904 0.076288 0.575648 0.00512 0.484 0.025856 
7.1e-05 0.015232 1.454944 0.581184 0.07616 0.580768 0.005056 0.483968 0.025696 
7.2e-05 0.015424 1.461792 0.574208 0.076608 0.582336 0.013152 0.485152 0.02592 
7.3e-05 0.015328 1.457056 0.578304 0.076224 0.580224 0.005088 0.483552 0.025696 
7.4e-05 0.015264 1.461568 0.577024 0.076256 0.578816 0.005088 0.484032 0.025856 
7.5e-05 0.015296 1.469728 0.580448 0.076352 0.574688 0.005152 0.484192 0.02576 
7.6e-05 0.015392 1.459872 0.575136 0.083232 0.575936 0.00512 0.483328 0.025824 
7.7e-05 0.015136 1.459424 0.57936 0.076352 0.585088 0.00512 0.496128 0.025856 
7.8e-05 0.015328 1.457568 0.574592 0.076224 0.575488 0.005184 0.483552 0.025696 
7.9e-05 0.01536 1.458208 0.574656 0.07616 0.575424 0.005088 0.484064 0.025792 
8e-05 0.015328 1.454528 0.582656 0.076544 0.582176 0.005056 0.484032 0.025792 
8.1e-05 0.020416 1.457408 0.573984 0.076352 0.582368 0.005056 0.48336 0.025856 
8.2e-05 0.015392 1.462592 0.57776 0.076288 0.586048 0.005088 0.487808 0.0264 
8.3e-05 0.015232 1.456192 0.573696 0.080416 0.57568 0.005152 0.48704 0.025824 
8.4e-05 0.01536 1.459744 0.576736 0.076288 0.576992 0.005056 0.485536 0.025824 
8.5e-05 0.015296 1.456736 0.581248 0.080448 0.575424 0.005088 0.489376 0.025792 
8.6e-05 0.015424 1.468512 0.579296 0.076384 0.579968 0.005184 0.495136 0.025888 
8.7e-05 0.015296 1.451648 0.574272 0.076576 0.575488 0.005152 0.485792 0.025824 
8.8e-05 0.015328 1.457376 0.574144 0.076288 0.57504 0.005088 0.491808 0.025792 
8.9e-05 0.015424 1.461728 0.577024 0.076576 0.575392 0.005152 0.484384 0.025888 
9e-05 0.015328 1.456352 0.58064 0.076128 0.587648 0.005152 0.483968 0.025696 
9.1e-05 0.015264 1.47024 0.574016 0.076416 0.576512 0.005152 0.483904 0.032704 
9.2e-05 0.021408 1.5416 0.611648 0.080672 0.622272 0.005408 0.514752 0.02768 
9.3e-05 0.018848 1.544896 0.615424 0.080832 0.616064 0.005152 0.5136 0.027264 
9.4e-05 0.01568 1.54928 0.611008 0.080864 0.61344 0.005216 0.514368 0.027456 
9.5e-05 0.01552 1.545472 0.619712 0.080832 0.612384 0.005216 0.516256 0.027424 
9.6e-05 0.015552 1.549344 0.61232 0.080768 0.624704 0.005312 0.513728 0.027392 
9.7e-05 0.01584 1.543776 0.610848 0.084544 0.609664 0.005248 0.519136 0.02736 
9.8e-05 0.01552 1.556928 0.610464 0.080736 0.615488 0.005184 0.517312 0.02736 
9.9e-05 0.01568 1.55648 0.6112 0.081024 0.62 0.005184 0.514432 0.02736 
0.0001 0.015648 1.545696 0.612128 0.080992 0.616384 0.005184 0.515872 0.027424 
0.000101 0.015584 1.547872 0.611872 0.080896 0.610016 0.005184 0.525536 0.027392 
0.000102 0.015616 1.547136 0.61376 0.0808 0.60944 0.005216 0.519424 0.027296 
0.000103 0.01552 1.552 0.612416 0.080672 0.60976 0.005184 0.516096 0.027392 
0.000104 0.015648 1.550944 0.618176 0.080736 0.610784 0.005248 0.513824 0.02736 
0.000105 0.015424 1.545728 0.610816 0.082432 0.616352 0.005184 0.519328 0.02752 
0.000106 0.015616 1.546144 0.615008 0.080768 0.613312 0.005248 0.513312 0.02752 
0.000107 0.015488 1.551808 0.610944 0.080992 0.611776 0.00528 0.513952 0.02736 
0.000108 0.01552 1.548192 0.61408 0.081024 0.614592 0.00528 0.515712 0.027392 
0.000109 0.015616 1.53968 0.623616 0.080704 0.608992 0.005152 0.5184 0.027648 
0.00011 0.015552 1.546592 0.610752 0.080896 0.609792 0.005248 0.520192 0.027424 
0.000111 0.01584 1.54048 0.615744 0.08064 0.612768 0.005216 0.518848 0.027488 
0.000112 0.018368 1.55872 0.621184 0.080832 0.609504 0.005216 0.516 0.02752 
0.000113 0.01568 1.550304 0.611776 0.0808 0.609696 0.005216 0.514016 0.027328 
0.000114 0.026112 1.598272 0.63104 0.083296 0.637536 0.005568 0.54144 0.028512 
0.000115 0.015936 1.5904 0.635488 0.08336 0.637472 0.00528 0.529024 0.028544 
0.000116 0.016 1.590144 0.63072 0.083136 0.636064 0.005312 0.538688 0.028352 
0.000117 0.018624 1.59504 0.63792 0.083104 0.630976 0.00528 0.529408 0.028352 
0.000118 0.01584 1.595776 0.636736 0.083104 0.62928 0.005184 0.530688 0.02832 
0.000119 0.015936 1.604704 0.636928 0.083136 0.629344 0.005312 0.5392 0.028448 
0.00012 0.015744 1.598432 0.631072 0.083072 0.632096 0.005312 0.538336 0.028192 
0.000121 0.015872 1.594944 0.635904 0.082944 0.634752 0.00528 0.52976 0.028512 
0.000122 0.015712 1.606432 0.631008 0.08736 0.629728 0.00544 0.532 0.028288 
0.000123 0.015872 1.607712 0.6304 0.0832 0.635776 0.005408 0.535488 0.028288 
0.000124 0.015936 1.598496 0.630144 0.082912 0.639616 0.00528 0.529632 0.029888 
0.000125 0.015744 1.590592 0.630464 0.083008 0.629792 0.00528 0.53968 0.028384 
0.000126 0.016128 1.594176 0.634432 0.083232 0.62976 0.00528 0.533984 0.028352 
0.000127 0.016128 1.597696 0.63424 0.083264 0.634976 0.005248 0.531584 0.028352 
0.000128 0.016032 1.600192 0.6376 0.083232 0.636768 0.005344 0.529216 0.028288 
0.000129 0.015872 1.590112 0.6328 0.08304 0.639712 0.005248 0.537664 0.028576 
0.00013 0.015904 1.60304 0.630304 0.083072 0.62976 0.00528 0.534464 0.028384 
0.000131 0.015872 1.596032 0.634016 0.082912 0.629696 0.00528 0.529216 0.028192 
0.000132 0.015936 1.603936 0.630624 0.08304 0.63056 0.005248 0.532416 0.028384 
0.000133 0.015904 1.608 0.638144 0.086624 0.635168 0.00528 0.534432 0.028448 
0.000134 0.01616 1.59744 0.638944 0.083264 0.63712 0.00528 0.538688 0.028256 
0.000135 0.015968 1.599328 0.631168 0.083328 0.630016 0.005248 0.533568 0.028288 
0.000136 0.024832 1.684672 0.658432 0.087616 0.657696 0.006368 0.554944 0.030112 
0.000137 0.017472 1.68624 0.658464 0.087584 0.657312 0.00576 0.557536 0.029888 
0.000138 0.017312 1.680192 0.65888 0.08784 0.664832 0.005824 0.560384 0.029728 
0.000139 0.017312 1.675424 0.66304 0.087488 0.657024 0.005792 0.558304 0.029664 
0.00014 0.024224 1.671808 0.660928 0.087616 0.657792 0.005792 0.555104 0.029696 
0.000141 0.017568 1.68496 0.65776 0.08752 0.657472 0.005792 0.55408 0.029888 
0.000142 0.017376 1.686944 0.65808 0.087488 0.657728 0.005856 0.5544 0.02992 
0.000143 0.017472 1.674336 0.671648 0.087776 0.663392 0.005824 0.55888 0.02992 
0.000144 0.01744 1.674432 0.665376 0.087744 0.663872 0.005888 0.56112 0.029696 
0.000145 0.017536 1.668224 0.660672 0.08752 0.657632 0.005856 0.559488 0.029824 
0.000146 0.01776 1.682496 0.657056 0.087648 0.657888 0.005824 0.554368 0.029728 
0.000147 0.017632 1.683392 0.65968 0.087712 0.66432 0.005856 0.554336 0.029696 
0.000148 0.017312 1.67616 0.657376 0.08768 0.663744 0.005792 0.564672 0.029792 
0.000149 0.017504 1.680256 0.661376 0.08752 0.658144 0.005888 0.567424 0.029888 
0.00015 0.017536 1.670656 0.662752 0.087552 0.663648 0.00576 0.55488 0.029728 
0.000151 0.017376 1.684128 0.659264 0.087424 0.662368 0.005888 0.554208 0.029728 
0.000152 0.0176 1.682208 0.664352 0.087808 0.659968 0.005792 0.5544 0.029696 
0.000153 0.017376 1.684192 0.657664 0.087648 0.668256 0.005792 0.554592 0.029824 
0.000154 0.01744 1.673728 0.657344 0.087264 0.665536 0.005888 0.56016 0.029632 
0.000155 0.01744 1.683296 0.657664 0.087616 0.666048 0.005792 0.557888 0.029792 
0.000156 0.01744 1.676288 0.65728 0.087264 0.663296 0.005792 0.553408 0.029664 
0.000157 0.024192 1.716352 0.67728 0.08992 0.675808 0.00944 0.569536 0.030912 
0.000158 0.018336 1.71184 0.677952 0.089888 0.679456 0.006016 0.569504 0.030624 
0.000159 0.017952 1.71984 0.680992 0.089664 0.681408 0.006016 0.56928 0.030432 
0.00016 0.017888 1.727776 0.675392 0.089792 0.677184 0.006016 0.569248 0.030816 
0.000161 0.017984 1.722656 0.675776 0.089952 0.67584 0.006048 0.57568 0.030624 
0.000162 0.018016 1.710048 0.680512 0.089728 0.683008 0.00608 0.569184 0.030656 
0.000163 0.018048 1.715936 0.674624 0.09488 0.675872 0.006048 0.571168 0.030528 
0.000164 0.017952 1.72832 0.676256 0.089888 0.68112 0.006016 0.571552 0.030496 
0.000165 0.01808 1.726752 0.698144 0.090048 0.679584 0.006016 0.568928 0.030464 
0.000166 0.017984 1.730176 0.681664 0.091328 0.67584 0.006016 0.574048 0.03056 
0.000167 0.018016 1.711744 0.688576 0.09552 0.680896 0.006016 0.569184 0.031584 
0.000168 0.01792 1.73152 0.678144 0.08976 0.67552 0.005984 0.581632 0.030592 
0.000169 0.018016 1.716544 0.677312 0.08992 0.675328 0.00608 0.56928 0.030752 
0.00017 0.017952 1.735616 0.6752 0.090144 0.68208 0.006144 0.574784 0.030592 
0.000171 0.01792 1.723968 0.683712 0.089728 0.676448 0.006016 0.574176 0.03072 
0.000172 0.017984 1.709216 0.675456 0.089952 0.682528 0.006048 0.573024 0.03056 
0.000173 0.018112 1.713792 0.681152 0.089888 0.68192 0.006112 0.576544 0.03616 
0.000174 0.017888 1.713632 0.677728 0.089952 0.681312 0.006016 0.56912 0.030624 
0.000175 0.017952 1.728992 0.675424 0.091264 0.67616 0.006112 0.57424 0.03056 
0.000176 0.01808 1.711552 0.68224 0.08992 0.675616 0.00608 0.574048 0.030592 
0.000177 0.01792 1.713376 0.67664 0.089792 0.684864 0.006048 0.569056 0.030528 
0.000178 0.031808 1.799296 0.712832 0.094688 0.706304 0.006784 0.595456 0.032608 
0.000179 0.019104 1.790528 0.711136 0.094848 0.709152 0.00672 0.595936 0.032128 
0.00018 0.019008 1.794304 0.70624 0.09456 0.706144 0.006976 0.6024 0.032192 
0.000181 0.019104 1.789216 0.713408 0.094528 0.71184 0.006752 0.59712 0.032224 
0.000182 0.01904 1.791456 0.707136 0.094592 0.709216 0.006688 0.601728 0.03216 
0.000183 0.019136 1.794016 0.706848 0.094592 0.7104 0.006752 0.600896 0.03216 
0.000184 0.019328 1.809536 0.70608 0.094464 0.705568 0.00688 0.595392 0.032288 
0.000185 0.019008 1.793568 0.70656 0.0944 0.706464 0.00672 0.594496 0.032128 
0.000186 0.0192 1.787136 0.7064 0.09456 0.716128 0.006656 0.594688 0.032128 
0.000187 0.01904 1.787712 0.7064 0.094368 0.705888 0.006656 0.594752 0.03216 
0.000188 0.01904 1.791872 0.706144 0.094496 0.705344 0.006784 0.594688 0.032064 
0.000189 0.019072 1.7856 0.7128 0.094592 0.705856 0.006752 0.594624 0.032096 
0.00019 0.018944 1.792544 0.706208 0.094464 0.706624 0.00672 0.59568 0.032032 
0.000191 0.019072 1.785856 0.713376 0.094432 0.706176 0.006784 0.5952 0.032192 
0.000192 0.019168 1.786912 0.7064 0.094624 0.708704 0.006848 0.6016 0.03216 
0.000193 0.018816 1.797216 0.70656 0.094592 0.708384 0.006656 0.595168 0.032224 
0.000194 0.019104 1.795104 0.708416 0.094656 0.712128 0.006784 0.595104 0.032 
0.000195 0.019136 1.800064 0.706784 0.094656 0.705888 0.006688 0.594816 0.032384 
0.000196 0.019104 1.79328 0.706336 0.10032 0.71328 0.00672 0.59472 0.032192 
0.000197 0.019008 1.786624 0.706112 0.094496 0.7136 0.006816 0.602016 0.03216 
0.000198 0.019072 1.797216 0.706144 0.094464 0.710304 0.006656 0.594784 0.032192 
0.000199 0.022048 1.855296 0.7336 0.097568 0.73504 0.007008 0.615968 0.033664 
0.0002 0.020128 1.855744 0.734816 0.097472 0.729184 0.0072 0.61872 0.033248 
0.000201 0.020256 1.85232 0.731456 0.097824 0.735712 0.007296 0.614752 0.033216 
0.000202 0.020192 1.856352 0.727968 0.097408 0.734208 0.007168 0.615136 0.033216 
0.000203 0.02048 1.86368 0.728928 0.097248 0.728896 0.007264 0.614944 0.033248 
0.000204 0.020384 1.862144 0.728224 0.09744 0.728832 0.0072 0.616928 0.033248 
0.000205 0.020064 1.857696 0.735264 0.097664 0.733088 0.007232 0.616192 0.03328 
0.000206 0.020224 1.854912 0.728608 0.09744 0.736 0.007264 0.62688 0.03328 
0.000207 0.020096 1.860288 0.734688 0.097568 0.72928 0.007168 0.6176 0.033248 
0.000208 0.020128 1.8656 0.729504 0.097472 0.729536 0.00736 0.619424 0.033216 
0.000209 0.020064 1.850752 0.735232 0.097472 0.731264 0.007104 0.620928 0.033184 
0.00021 0.02032 1.854784 0.728992 0.09728 0.739648 0.007168 0.614848 0.033184 
0.000211 0.020416 1.854016 0.732576 0.09728 0.735008 0.007168 0.621984 0.03328 
0.000212 0.020384 1.86144 0.734016 0.097504 0.729664 0.0072 0.615456 0.033408 
0.000213 0.020192 1.852 0.73024 0.097376 0.733504 0.007072 0.614976 0.033312 
0.000214 0.025504 1.866304 0.728064 0.097376 0.72848 0.007136 0.614624 0.033184 
0.000215 0.020192 1.857408 0.735552 0.097248 0.731424 0.007424 0.616288 0.033184 
0.000216 0.031712 2.040064 0.729632 0.097568 0.73136 0.007456 0.62416 0.033056 
0.000217 0.020512 1.86112 0.728256 0.097728 0.729696 0.007168 0.614496 0.033312 
0.000218 0.026848 1.877728 0.735456 0.095168 0.731328 0.006912 0.637984 0.032672 
0.000219 0.020704 1.886976 0.733984 0.095232 0.73072 0.007744 0.624448 0.032448 
0.00022 0.020448 1.879776 0.744064 0.095104 0.73136 0.00752 0.624928 0.032384 
0.000221 0.02032 1.877984 0.731744 0.095328 0.74288 0.007552 0.624512 0.03232 
0.000222 0.020448 1.879776 0.73744 0.09552 0.736416 0.007552 0.629152 0.032448 
0.000223 0.020416 1.9024 0.738368 0.09552 0.741824 0.00752 0.629952 0.032576 
0.000224 0.020416 1.8896 0.737568 0.09504 0.731648 0.007584 0.623712 0.032384 
0.000225 0.020704 1.875008 0.74016 0.09536 0.730496 0.007584 0.62464 0.032352 
0.000226 0.020512 1.876224 0.733184 0.095424 0.73792 0.00752 0.624096 0.03232 
0.000227 0.02048 1.87504 0.732992 0.095424 0.731648 0.00752 0.631264 0.032384 
0.000228 0.020608 1.876192 0.733088 0.095168 0.737184 0.007616 0.624608 0.032384 
0.000229 0.020448 1.881088 0.733504 0.09488 0.730944 0.007488 0.625408 0.03248 
0.00023 0.020576 1.882336 0.732192 0.095392 0.731072 0.00752 0.624992 0.03248 
0.000231 0.020384 1.87488 0.739168 0.094752 0.73168 0.00752 0.623808 0.032544 
0.000232 0.020352 1.87536 0.73392 0.095648 0.737696 0.00752 0.624128 0.032512 
0.000233 0.020608 1.87344 0.73264 0.09504 0.731488 0.007584 0.623872 0.032448 
0.000234 0.020736 1.883008 0.733024 0.095264 0.730784 0.007648 0.62416 0.03248 
