frame velocity-addSource velocity-diffuse velocity-project1 velocity-advect velocity-project2 density-addSource density-diffuse density-advect
0.0 0.00611540358376 0.451224724642 0.178168666776 0.0272014904926 0.1777522056 0.0017316017316 0.149783549784 0.00802235738945 
1e-06 0.00490723460314 0.452234054232 0.180085629597 0.0234273795148 0.180261280053 0.00163574486771 0.14951147217 0.00793720496213 
2e-06 0.0049411120241 0.453015612161 0.17793481238 0.0234018077239 0.179622021364 0.00164338537387 0.151531087373 0.00791016159956 
3e-06 0.00495539049796 0.450951522876 0.179009361403 0.0234474574781 0.180712433525 0.00165912187404 0.151331692524 0.00793301982156 
4e-06 0.00491322173249 0.451587729036 0.178129018785 0.0234449708174 0.178403807472 0.0016377405775 0.15396959738 0.00791391419998 
5e-06 0.00491805078327 0.450440758346 0.178158585182 0.0234156301801 0.179871120723 0.00163569099711 0.153678109185 0.00788205460354 
6e-06 0.00493789228811 0.452958346135 0.178192073037 0.0234604749155 0.181462055041 0.00165693719001 0.149442566826 0.007889654567 
7e-06 0.00495710408824 0.45185152762 0.179943972687 0.0232972949313 0.179976801191 0.00166331086405 0.150387376346 0.00792261227348 
8e-06 0.00496745272108 0.449868379024 0.1785969975 0.0235596039255 0.181031159476 0.00163011752266 0.152360916831 0.00798537299953 
9e-06 0.00499290655346 0.452836828735 0.179150765982 0.0234798579111 0.180206534769 0.00167163391217 0.149666223097 0.00799524904046 
1e-05 0.00492232807481 0.453654472302 0.179177127071 0.0234715020226 0.177697139788 0.00163346744576 0.151539734918 0.00790422837848 
1.1e-05 0.00496909465519 0.453421623825 0.178633994777 0.0234682297463 0.17986800498 0.00164167428741 0.150086490894 0.00791088683465 
1.2e-05 0.00496635870104 0.450088645649 0.179097245928 0.0258999460418 0.178392485492 0.00166279415489 0.151930933477 0.00796159055621 
1.3e-05 0.00492940737325 0.451683024834 0.177919768131 0.0234833014953 0.17894078124 0.00164679533628 0.153470346705 0.00792657488527 
1.4e-05 0.00494756242047 0.450030716574 0.182993988328 0.0234542981263 0.179450612137 0.00163456053359 0.149545833516 0.00794242836456 
1.5e-05 0.00498393698015 0.452174008714 0.18041191744 0.0233903973947 0.178409540994 0.00166131232672 0.151025392774 0.00794349337675 
1.6e-05 0.00494320803216 0.452237625503 0.180438078081 0.0234637607927 0.178186172199 0.00165872091746 0.151119361997 0.00795307247841 
1.7e-05 0.0049728851516 0.453794981009 0.178057830373 0.0234043954596 0.180582694799 0.00164665071245 0.149559795376 0.00798076711968 
1.8e-05 0.00495878697051 0.451613258694 0.179772556971 0.02353770882 0.179915810817 0.00164190946357 0.150603870058 0.00795609820602 
1.9e-05 0.00493375769523 0.452474037201 0.180401528584 0.0235014261643 0.178705549376 0.00167395350374 0.150369481185 0.00794026629076 
2e-05 0.00492280643921 0.45268941267 0.179979122026 0.0234492610296 0.178341849349 0.00163727267733 0.15107961101 0.00790066479864 
2.1e-05 0.00492019812878 0.452195927353 0.180836543753 0.0234672537149 0.178326912493 0.00166208035223 0.150643918547 0.00794716565768 
2.2e-05 0.00496291508266 0.453542513448 0.177525554083 0.0234560732715 0.179420883684 0.00164334936512 0.151538722789 0.00790998827744 
2.3e-05 0.00844175715175 0.451338546118 0.177962792955 0.0233836673104 0.179302921903 0.00173056021611 0.149809532854 0.0080302214906 
2.4e-05 0.00492495807417 0.450888402997 0.180822383085 0.0235209204577 0.17886938247 0.00162396246842 0.151389390112 0.00796060033541 
2.5e-05 0.0048867498364 0.448398876997 0.184408840479 0.0233677411184 0.179965381124 0.00163595296899 0.149431110548 0.00790534692757 
2.6e-05 0.00493447232981 0.451647477052 0.178797686634 0.0235262906563 0.181121663925 0.00163421234149 0.150389982491 0.00794821456996 
2.7e-05 0.00487779014898 0.451492497747 0.181379566301 0.0234664121733 0.178855840093 0.00162239541912 0.150320767722 0.00798473039606 
2.8e-05 0.00497691177869 0.455001743504 0.178978623583 0.023373521984 0.178281221932 0.00164840390122 0.149793421178 0.00794615213923 
2.9e-05 0.00493346178684 0.453349142996 0.179997247425 0.0234498237293 0.178610372974 0.0016621319754 0.150057698212 0.00794012090157 
3e-05 0.00495464431595 0.450777147101 0.179534242215 0.0256962495358 0.179046204445 0.00162325606069 0.15042172829 0.00794652803565 
3.1e-05 0.00488519785051 0.450956861579 0.179116841189 0.0234808096684 0.179053121217 0.00162485928506 0.152917312716 0.0079649964954 
3.2e-05 0.00492063492063 0.451248677249 0.179798941799 0.0235026455026 0.178328042328 0.00164021164021 0.152645502646 0.00791534391534 
3.3e-05 0.00494474145764 0.452285358071 0.177799378738 0.0239207150857 0.178253703273 0.00160598440505 0.153244722439 0.00794539653023 
3.4e-05 0.00493523823645 0.453046397594 0.18053863995 0.0234688582231 0.178441693232 0.0016627304788 0.149931690372 0.00797475191426 
3.5e-05 0.00494111921111 0.451133706474 0.178197708252 0.0234888322241 0.18074762202 0.00162940547861 0.151915609493 0.00794599684699 
3.6e-05 0.00492631712769 0.45301988537 0.180070133805 0.0235615683699 0.178703478086 0.00164210570923 0.150130838745 0.0079456727866 
3.7e-05 0.00489020796586 0.452888180061 0.17970194024 0.0233948394047 0.179723064249 0.00165823466661 0.149811468224 0.00793206518869 
3.8e-05 0.00489413654958 0.452015263787 0.181125334292 0.0233502108813 0.179042947898 0.00163842584273 0.149984672791 0.00794900795958 
